restaurant,reviewer,review,rating,metadata,time,review_count,follower_count,char_count,word_count,clean_review,tokens,lexical_diversity,repetition_ratio,adj_ratio,noun_ratio,verb_ratio,superlative_count,exclamation_count,flesch_reading_ease,neg,neu,pos,compound
B-Dubs,NAGUBANDI ANOOP 14BEC0308,The party was great...the food was awesome and the best place for corporate parties...Prabhu took really good care of us and his service was very good,5.0,1 Review,2019-05-08 22:51:00,1.0,,150.0,26.0,The party was great...the food was awesome and the best place for corporate parties...Prabhu took really good care of us and his service was very good,"['party', 'great', 'food', 'awesome', 'good', 'place', 'corporate', 'party', 'prabhu', 'take', 'really', 'good', 'care', 'service', 'good']",0.8,0.1999999999999999,0.2,0.2333333333333333,0.0333333333333333,1.0,0.0,84.15371794871797,0.0,0.489,0.511,0.9677
Cream Stone,Kiran,"I have ordered several times from cream stone.
One of the finest place for ice creams. Quality and taste of ice creams are top notch. You will fall in love with this ice creams",5.0,"8 Reviews , 3 Followers",2018-10-09 21:10:00,8.0,3.0,176.0,34.0,I have ordered several times from cream stone. One of the finest place for ice creams. Quality and taste of ice creams are top notch. You will fall in love with this ice creams,"['order', 'several', 'time', 'cream', 'stone', 'one', 'fine', 'place', 'ice', 'cream', 'quality', 'taste', 'ice', 'cream', 'top', 'notch', 'fall', 'love', 'ice', 'cream']",0.75,0.25,0.081081081081081,0.3513513513513513,0.081081081081081,1.0,0.0,101.16632352941178,0.0,0.838,0.162,0.7184
Dunkin' Donuts,Kiran Ramoju,good taste.loved it,5.0,"6 Reviews , 3 Followers",2018-05-06 20:17:00,6.0,3.0,19.0,3.0,good taste.loved it,"['good', 'taste.love']",1.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,,0.0,0.57,0.43,0.9588
Urban Asia - Kitchen & Bar,Abhra Das,We ordered a fish starter along with main course. Food was good . Tasted quite fresh and authentic. Quality and quantity both were satisfying. The restaurant is in the same floor of Eat India Company and shares same service.,4.0,"10 Reviews , 1 Follower",2018-11-25 18:17:00,10.0,1.0,224.0,39.0,We ordered a fish starter along with main course. Food was good . Tasted quite fresh and authentic. Quality and quantity both were satisfying. The restaurant is in the same floor of Eat India Company and shares same service.,"['order', 'fish', 'starter', 'along', 'main', 'course', 'food', 'good', 'taste', 'quite', 'fresh', 'authentic', 'quality', 'quantity', 'satisfy', 'restaurant', 'floor', 'eat', 'india', 'company', 'share', 'service']",1.0,0.0,0.1395348837209302,0.3023255813953488,0.0697674418604651,0.0,0.0,69.99468421052632,0.0,0.755,0.245,0.8655
Yum Yum Tree - The Arabian Food Court,Deep Dey,food was delivered cold,3.0,"1 Review , 18 Followers",2018-07-09 15:09:00,1.0,18.0,23.0,4.0,food was delivered cold,"['food', 'deliver', 'cold']",1.0,0.0,0.0,0.25,0.25,0.0,0.0,75.87500000000001,0.0,1.0,0.0,0.0
Shah Ghouse Hotel & Restaurant,Prem Vijayan,"Was trying to go to ter Charminar branch but due to small mistake in cab bookings ended up at tiz branch.. took Ter AC hall in d 1st floor.. typical resto arrangement and AC was mild and filled with Biryani Aroma...
Ordered chicken tikka ₹230, juicy well marinated and perfectly cooked chicken, qty was huge.. served with mint chutney, spl.mutton Biryani ₹280, Biryani had huge portion which can easily serve two good eaters, Biryani was served with a egg and about 10-12 pics of tender mutton pcs... Biryani lived up to its legendary status... VFM 5/5...",4.0,"45 Reviews , 397 Followers",2019-04-08 04:52:00,45.0,397.0,555.0,96.0,"Was trying to go to ter Charminar branch but due to small mistake in cab bookings ended up at tiz branch.. took Ter AC hall in d 1st floor.. typical resto arrangement and AC was mild and filled with Biryani Aroma... Ordered chicken tikka 230, juicy well marinated and perfectly cooked chicken, qty was huge.. served with mint chutney, spl.mutton Biryani 280, Biryani had huge portion which can easily serve two good eaters, Biryani was served with a egg and about 10-12 pics of tender mutton pcs... Biryani lived up to its legendary status... VFM 5/5...","['try', 'go', 'ter', 'charminar', 'branch', 'due', 'small', 'mistake', 'cab', 'booking', 'end', 'tiz', 'branch', 'take', 'ter', 'ac', 'hall', '1st', 'floor', 'typical', 'resto', 'arrangement', 'ac', 'mild', 'fill', 'biryani', 'aroma', 'order', 'chicken', 'tikka', '230', 'juicy', 'well', 'marinated', 'perfectly', 'cook', 'chicken', 'qty', 'huge', 'serve', 'mint', 'chutney', 'spl.mutton', 'biryani', '280', 'biryani', 'huge', 'portion', 'easily', 'serve', 'two', 'good', 'eater', 'biryani', 'serve', 'egg', '10', '12', 'pic', 'tender', 'mutton', 'pc', 'biryani', 'live', 'legendary', 'status', 'vfm', '5/5']",0.8382352941176471,0.1617647058823529,0.109090909090909,0.3181818181818182,0.1181818181818181,0.0,0.0,74.82750000000003,0.028,0.804,0.168,0.9455
Shah Ghouse Hotel & Restaurant,Vinay,"Nice taste of Biryani, and the price was also fair, ambience was good.went with my team they loved it..starters were excellent with crisp and spices",4.0,1 Review,2019-05-24 03:01:00,1.0,,148.0,25.0,"Nice taste of Biryani, and the price was also fair, ambience was good.went with my team they loved it..starters were excellent with crisp and spices","['nice', 'taste', 'biryani', 'price', 'also', 'fair', 'ambience', 'good.went', 'team', 'love', 'starter', 'excellent', 'crisp', 'spice']",1.0,0.0,0.1379310344827586,0.2758620689655172,0.0344827586206896,0.0,0.0,86.70466666666667,0.0,0.623,0.377,0.9136
Mustang Terrace Lounge,Brijesh Mohanty,"One of the most pathetic places when it comes to customer service, bad food , and the attitude of the employees are absolutely annoying especially the owner. He would make you feel as if you he is is doing a favor , you won't want to give them your money",1.0,"5 Reviews , 6 Followers",2019-05-04 22:30:00,5.0,6.0,254.0,50.0,"One of the most pathetic places when it comes to customer service, bad food , and the attitude of the employees are absolutely annoying especially the owner. He would make you feel as if you he is is doing a favor , you won't want to give them your money","['one', 'pathetic', 'place', 'come', 'customer', 'service', 'bad', 'food', 'attitude', 'employee', 'absolutely', 'annoying', 'especially', 'owner', 'would', 'make', 'feel', 'favor', 'want', 'give', 'money']",1.0,0.0,0.0566037735849056,0.1698113207547169,0.1132075471698113,1.0,0.0,60.862500000000026,0.208,0.745,0.048,-0.8405
Mohammedia Shawarma,ShraVan Kumar,crazy,5.0,"1 Review , 163 Followers",2018-07-20 22:30:00,1.0,163.0,5.0,1.0,crazy,['crazy'],1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.643,0.357,0.9578
Owm Nom Nom,SEEMA MEHTA,"I have been there 2to 3 times but this time i had the worst experience. Waiter was in some othe worls we asked him to bring something and he ordered something..
At the time of serving food the waiter told us paneer is there but paneer tikka is not available and the hilarious part was we did not order paneer tikka, so what we ordered in veg in that also it did not had paneer. At the time of billing they create a lot of chaos...
So I had the worst experience.",1.0,"2 Reviews , 1 Follower",2019-03-30 18:58:00,2.0,1.0,461.0,92.0,"I have been there 2to 3 times but this time i had the worst experience. Waiter was in some othe worls we asked him to bring something and he ordered something.. At the time of serving food the waiter told us paneer is there but paneer tikka is not available and the hilarious part was we did not order paneer tikka, so what we ordered in veg in that also it did not had paneer. At the time of billing they create a lot of chaos... So I had the worst experience.","['2to', '3', 'time', 'time', 'bad', 'experience', 'waiter', 'othe', 'worl', 'ask', 'bring', 'something', 'order', 'something', 'time', 'serve', 'food', 'waiter', 'tell', 'paneer', 'paneer', 'tikka', 'available', 'hilarious', 'part', 'order', 'paneer', 'tikka', 'order', 'veg', 'also', 'paneer', 'time', 'billing', 'create', 'lot', 'chaos', 'bad', 'experience']",0.6666666666666666,0.3333333333333333,0.0408163265306122,0.2244897959183673,0.1122448979591836,2.0,0.0,75.9720434782609,0.112,0.826,0.062,-0.7964
